interval,loss,p0,p1,a0,b0,c0,d0
0,0.6507526368241922,47.222,0.0003,4.996709227572841e-05,0.0051983575564566314,0.09165653144227066,-0.03872207262989478
0,0.11911285875088985,47.222,0.0003,-4.9997627155738396e-05,-0.07763177823075502,0.012884363707866138,0.0722142986144987
0,0.3204690818124961,47.222,0.0003,-2.4790187205315294e-05,-0.04253169755960913,0.06057861151191211,-0.06338971796001922
0,0.1845245735724205,47.222,0.0003,-4.9998336744404284e-05,-0.03524472676788859,-0.021159634583340282,-0.08825759734455425
0,0.5802456051626637,47.222,0.0003,4.5985277414819036e-05,-0.09225152734911941,0.09350491520624114,0.022995687948113255
64,0.2104960502930787,47.222,0.0003,4.9954899464406456e-05,0.06707605054390736,0.03564983731400588,-0.04945366439744143
64,0.42280994949178385,47.222,0.0003,-4.9974994053399646e-05,0.07521377336014021,0.0625809238131789,0.03458573443169648
64,0.18358685115771894,47.222,0.0003,4.932869277515625e-05,-0.09326059066968583,-0.05548146087181355,-0.029353811135825494
64,0.16789332331503445,47.222,0.0003,4.999997647752674e-05,-0.052362010060721435,0.0030472868018792823,-0.03756462513591969
64,0.34634309535915203,47.222,0.0003,-4.999069790897883e-05,-0.014011287881596599,0.03494008431838759,-0.07884959131102046
128,0.25351732060501414,47.222,0.0003,-3.738040419860778e-05,0.051909270563275434,-0.046917795924250404,0.0005166572619857634
128,0.33100623148361175,47.222,0.0003,-4.984033323925083e-05,-0.0392477379990964,-0.06398465166411985,-0.05986054925645976
128,0.25182149979101087,47.222,0.0003,4.99990502250026e-05,0.06334392254982343,0.028075008122935535,-0.04517932290360852
128,0.2401834784377748,47.222,0.0003,4.99807263376692e-05,-0.05559340790241092,-0.01962945149847596,-0.07630675968451592
128,0.7603528523787313,47.222,0.0003,-4.5329809254778904e-05,-0.07478283131326652,0.07737452349370097,0.029703475397613036
192,0.553987086458948,47.222,0.0003,4.776342252549764e-05,-0.06646819943353546,-0.05187616925547285,0.04416672471568691
192,0.5256116368521421,47.222,0.0003,-4.995862630673504e-05,0.04470811045270828,0.05335918585100985,-0.0608821402583829
192,1.2211625601892346,47.222,0.0003,4.01032385312472e-05,-0.013976758863572719,-0.08906361501165144,0.02121152241893094
192,0.5479019582427268,47.222,0.0003,-4.9274921445709424e-05,0.0759896170752068,0.028084756226601715,0.026923022401062095
192,0.33258351221990784,47.222,0.0003,-4.9256055025835326e-05,-0.09052855545150051,-0.07286428535529181,-0.020586256109448083
256,0.944952443225677,47.222,0.0003,4.998800654780845e-05,0.00019994229465414293,0.09014557763583736,-0.06878130987852868
256,0.39246137762362737,47.222,0.0003,4.875882330939227e-05,-0.04226398338983002,0.026640454556539506,0.054143819171051925
256,0.3539371927904269,47.222,0.0003,4.9991643301318664e-05,-0.0030830670659189874,-0.012237633586309254,-0.023114572690432083
256,0.38024005953204826,47.222,0.0003,4.999562018644627e-05,0.09853888451036935,0.021621897605396755,-0.027323174355660163
256,1.190461464595969,47.222,0.0003,-4.835245310081607e-05,-0.08818534586011273,-0.07387938766278454,0.0035255161676246453
320,1.0103540722551894,47.222,0.0003,-4.9955573615856486e-05,0.045151376180923186,0.0993334704433025,-0.0937678308194964
320,0.6657977751136333,47.222,0.0003,-4.999960805650879e-05,0.0669827662095078,-0.0021711903112053487,-0.04230373574932585
320,0.7975821832628759,47.222,0.0003,4.999722555180747e-05,-0.09009889278739146,-0.03122038767191869,-0.08444739158451359
320,0.5429168674700745,47.222,0.0003,4.9613493881729114e-05,0.05076980488188107,-0.03340434347304675,-0.018536841178710448
320,0.43081740567287574,47.222,0.0003,4.9430347014169894e-05,-0.06355929135657741,-0.07461841369448706,0.037654730636137626
384,0.8008733468655802,47.222,0.0003,4.999887787906509e-05,-0.05227961496693315,0.03480042355468528,-0.04302910431629113
384,0.6825484073121536,47.222,0.0003,-4.985294940420109e-05,-0.01942998468319139,-0.01992743926088157,-0.016960399327697502
384,0.7107308831423234,47.222,0.0003,-4.999677948682823e-05,-0.03004739252398346,-0.014106834782603609,-0.0653317123509755
384,0.9418780924769132,47.222,0.0003,-4.9978367244982175e-05,0.06656264791987557,0.02324277907610647,0.07482277302112753
384,0.6461680590925086,47.222,0.0003,4.9804742283706004e-05,-0.041150768120080276,-0.03740358624719382,-0.0512736825917113
448,1.1723619370280212,47.222,0.0003,-3.275892174616586e-05,-0.03656060055853445,-0.04631240925306556,0.018562054722992685
448,0.7408425038395604,47.222,0.0003,4.9980077462764494e-05,-0.027783506813623335,-0.030257893823191127,0.05787350811137245
448,1.2369087799267917,47.222,0.0003,4.9979772662539294e-05,-0.021306477444210617,0.0752483111482155,-0.03503197584330849
448,1.1425940217991872,47.222,0.0003,-4.999999718303504e-05,-0.014640360362299723,0.00573280951455362,0.07745790314350576
448,1.0691732566956174,47.222,0.0003,4.99999668533187e-05,0.019952540456310203,0.03284904349923348,0.037933478305384245
512,1.1240432954303436,47.222,0.0003,-4.999891561645372e-05,-0.03054677046628705,0.04512427477405465,0.07989611863972386
512,1.2192066128883563,47.222,0.0003,4.999999690950464e-05,-0.016998596378184058,0.011183135457279565,-0.03953935430033569
512,0.7400332916920725,47.222,0.0003,-4.9862742802761226e-05,0.06360477993525601,-0.04168950838892769,0.04155377364715114
512,0.9414980476221559,47.222,0.0003,4.9259172956327066e-05,-0.08159036928649106,0.010839439491887178,-0.013350598549435733
512,1.0732122064459,47.222,0.0003,4.610076038724029e-05,-0.07895492601466668,0.07357118640022284,-0.07985712969207884
576,1.011571371281248,47.222,0.0003,4.999989375325363e-05,0.059425214701518986,-0.04062016778831199,0.08751096268947223
576,1.2766803138640535,47.222,0.0003,4.997917382405596e-05,-0.08614091576142142,0.043485367725415676,0.08287741629221942
576,1.2549861538726919,47.222,0.0003,-4.9999477445999206e-05,-0.026341301995421312,-0.008100111274490042,0.04984567231826093
576,0.8086654742940661,47.222,0.0003,-4.9631750237635525e-05,-0.05659685841588178,0.03802181403376743,-0.01831962299518121
576,1.2591773134939448,47.222,0.0003,4.99867290344267e-05,0.052070932019912586,-0.06466817757643256,-0.034429212997346886
640,1.0456980790116277,47.222,0.0003,-4.999404778196548e-05,0.002033209369575892,-0.041979298157722535,-0.05843972200957807
640,1.1996924735310557,47.222,0.0003,-4.8812124237232264e-05,0.08167818908118982,-0.05136035714447843,-0.025843426375472614
640,0.8716757481266176,47.222,0.0003,4.2047424908631994e-05,0.06661198352988562,0.06233124298102194,0.05834472064586838
640,1.2602895605688214,47.222,0.0003,4.999612050578722e-05,-0.06939520862335657,-0.0036355807398793204,-0.060574389296910135
640,1.137625743754905,47.222,0.0003,4.995491517055331e-05,-0.06858396171004114,0.03777340226559039,-0.04195085686963773
